Name of the region,Region iso code
Uusimaa,18
Varsinais-Suomi,19
Satakunta,17
Kanta-Häme,06
Pirkanmaa,11
Päijät-Häme,16
Kymenlaakso,09
South Karelia,02
Etelä-Savo,04
Pohjois-Savo,15
North Karelia,13
Central Finland,08
South Ostrobothnia,03
Ostrobothnia,12
Central Ostrobothnia,07
North Ostrobothnia,14
Kainuu,05
Lapland,10
