"Postal code area","X coordinate in metres","Y coordinate in metres"
"17430  Kurhila (Asikkala)",411110,6783807
"17440  Vähimaa (Asikkala)",412651,6787307
"17450  Iso-Äiniö-Vähimaa (Asikkala)",408875,6789577
"17470  Maakeski (Padasjoki)",410193,6794534
"17500  Padasjoki Keskus (Padasjoki)",409569,6810002
"17510  Nyystölä (Padasjoki)",407079,6797554
"17530  Arrakoski (Padasjoki)",399193,6807073
"17610  Auttoinen (Padasjoki)",395657,6798603
"17630  Vesijako (Padasjoki)",392416,6805447
"17710  Torittu (Padasjoki)",397583,6813675
"17740  Kasiniemi-Torittu (Padasjoki)",389118,6811700
"17780  Harmoinen (Kuhmoinen)",400872,6819166
"17800  Kuhmoinen Keskus (Kuhmoinen)",405302,6833012
"17840  Harjunsalmi (Kuhmoinen)",407972,6841497
"17850  Pihlajakoski (Kuhmoinen)",415482,6840614
"17870  Ruolahti (Kuhmoinen)",415235,6827224
"17930  Päijälä (Kuhmoinen)",387320,6831639
"17950  Kylämä (Kuhmoinen)",397393,6838360
"17970  Puukkoinen (Kuhmoinen)",400463,6842039
"18100  Heinola Keskus (Heinola)",453172,6785110
"18120  Reumasairaala-alue (Heinola)",451008,6786376
"18130  Tommola-Sahanniemi (Heinola)",449662,6784508
"18150  Jyränkö (Heinola)",448578,6782474
"18200  Kaakonlampi-Pyhätön (Heinola)",448824,6787865
"18300  Heinola kk (Heinola)",460145,6789153
"18600  Myllyoja (Heinola)",444284,6781954
"19110  Vierumäki taajama (Heinola)",441381,6775653
"19120  Vierumäki urheiluopisto (Heinola)",447144,6775604
"19160  Huutotöyry (Iitti)",455926,6773833
"19210  Lusi (Heinola)",450165,6799869
"19230  Onkiniemi (Sysmä)",449469,6808641
"19250  Syrjäkoski (Heinola)",455770,6803940
"19260  Paaso-Syrjäkoski (Heinola)",461947,6806254
"19310  Karilanmaa (Sysmä)",423297,6804292
"19320  Nikkaroinen (Sysmä)",426768,6807867
"19370  Nuoramoinen (Sysmä)",438385,6808361
"19410  Kuortti (Pertunmaa)",467854,6809261
"19420  Mansikkamäki (Pertunmaa)",464788,6819106
"19430  Pertunmaa Keskus (Pertunmaa)",471928,6819794
"19460  Ruorasmäki (Pertunmaa)",468737,6831135
"19470  Lihavanpää-Hartosenpää (Pertunmaa)",476422,6821815
"19480  Hartosenpää (Pertunmaa)",480009,6821242
"19510  Lepsala (Hartola)",458028,6810340
"19540  Koitti-Lepsala (Hartola)",457441,6824331
"19600  Hartola Keskus (Hartola)",445673,6834268
"19610  Murakka (Hartola)",451791,6822354
"19620  Pohela (Hartola)",446567,6818602
"19630  Kalhonkylä (Hartola)",443422,6815226
"19650  Joutsa Keskus (Joutsa)",458873,6846590
"19670  Mieskonmäki (Joutsa)",463251,6860631
"19700  Sysmä Keskus (Sysmä)",427635,6823784
"19730  Särkilampi (Sysmä)",428488,6829006
"19740  Liikola (Sysmä)",433526,6833491
"19770  Valittula (Sysmä)",440777,6823657
"19850  Putkijärvi-Siltasuo (Hartola)",439202,6845860
"19910  Tammijärvi (Luhanka)",436850,6854199
"19920  Pappinen (Joutsa)",444150,6854331
"19950  Luhanka (Luhanka)",426851,6849388
"20100  Turku Keskus (Turku)",234247,6708580
"20200  Iso-Heikkilä (Turku)",237151,6710635
"20210  Pahaniemi (Turku)",235905,6711968
"20240  Pansio-Perno (Turku)",233322,6711624
"20250  Pitkämäki-Muhkuri (Turku)",237725,6711918
"20300  Pohjola-Kastu (Turku)",239903,6712773
"20320  Kuninkoja-Mälikkälä (Turku)",238062,6714291
"20360  Kärsämäki-Urusvuori-Halinen (Turku)",241051,6716244
"20380  Räntämäki-Saramäki (Turku)",243654,6716226
"20400  Moisio (Turku)",241983,6720276
"20460  Jäkärlä (Turku)",245903,6721023
"20500  Vesilinna (Turku)",240642,6711203
"20520  Kupittaa (Turku)",241773,6710372
"20540  Nummi-Ylioppilaskylä (Turku)",243971,6711845
"20610  Varissuo (Turku)",244060,6710115
"20660  Littoinen (Kaarina)",247938,6710455
"20700  Vartiovuori-Samppalinna (Turku)",240287,6710229
"20720  Vasaramäki (Turku)",241321,6709264
"20730  Skanssi (Turku)",242694,6708157
"20740  Ilpoinen-Harittu (Turku)",241334,6707437
"20750  Huhkola-Lauste-Vaala (Turku)",244010,6708589
"20760  Piispanristi (Kaarina)",241924,6705600
"20780  Kaarina Keskus (Kaarina)",246171,6706444
"20800  Ammattikorkeakoulu (Turku)",239577,6710390
"20810  Martti-Korppolaismäki (Turku)",238833,6709141
"20880  Uittamo (Turku)",239338,6707448
"20900  Moikoinen-Pikisaari (Turku)",235808,6706452
"20960  Kakskerta (Turku)",236734,6700880
"21100  Naantali Keskus (Naantali)",224323,6712412
"21110  Taimo-Nuhjala-Lietsala (Naantali)",228267,6716418
"21120  Viherjäinen (Raisio)",230478,6713611
"21130  Poikko (Naantali)",220256,6708741
"21140  Rymättylä Keskus (Naantali)",220426,6704042
"21150  Röölä (Naantali)",219881,6695137
"21160  Merimasku (Naantali)",217935,6713282
"21180  Livonsaari (Naantali)",211645,6720356
"21195  Velkua (Naantali)",204143,6712327
"21200  Raisio Keskus (Raisio)",234357,6716837
"21210  Hakinmäki (Raisio)",230729,6716143
"21220  Somersoja (Raisio)",231777,6718556
"21230  Lemu (Masku)",224043,6725706
"21240  Askainen Keskus (Masku)",217428,6723928
"21250  Masku (Masku)",229971,6722492
"21260  Ihala (Raisio)",234636,6713267
"21270  Nousiainen (Nousiainen)",236231,6735111
"21280  Kuloinen (Raisio)",236362,6714887
"21290  Rusko (Rusko)",238355,6722273
"21310  Vahto (Rusko)",244230,6731445
"21330  Paattinen (Turku)",247459,6727304
"21340  Tortinmäki (Turku)",248620,6736922
"21350  Ilmarinen (Lieto)",247921,6716882
"21360  Lieto Asemanseutu (Lieto)",251576,6725675
"21370  Aura kk. (Aura)",257025,6727259
"21380  Aura Keskus (Aura)",259324,6731037
"21410  Vanhalinna (Lieto)",247212,6713866
"21420  Lieto Keskus (Lieto)",252407,6716241
"21430  Yliskulma (Lieto)",259335,6720311
"21450  Tarvasjoki Keskus (Lieto)",265781,6723433
"21480  Prunkila (Marttila)",273256,6719851
"21490  Marttila (Marttila)",276085,6722674
"21500  Piikkiö (Kaarina)",253288,6707510
"21510  Hevonpää (Paimio)",261174,6704013
"21520  Naskarla (Paimio)",262537,6707266
"21530  Paimio Keskus (Paimio)",263922,6715195
"21540  Preitilä (Paimio)",267922,6710747
"21555  Taatila (Paimio)",269368,6714986
"21560  Ollila (Marttila)",279199,6729577
"21570  Sauvo Keskus (Sauvo)",262908,6694786
"21590  Karuna (Sauvo)",257785,6687581
"21600  Parainen Keskus (Pargas)",231678,6693605
"21610  Kirjala (Pargas)",245248,6698940
"21620  Kuusisto (Kaarina)",246147,6703301
"21630  Lielahti (Pargas)",245155,6690760
"21650  Lillandet (Pargas)",224107,6681213
"21660  Nauvo Keskus (Pargas)",212836,6683948
"21670  Mattnäs-Nötö (Pargas)",209418,6679651
"21680  Nötö (Pargas)",207356,6658102
"21710  Korppoo Keskus-Utö (Pargas)",199962,6680231
"21720  Korpoström (Pargas)",199911,6676480
"21740  Utö (Pargas)",197119,6644236
"21750  Norrskata (Pargas)",201153,6691128
"21760  Houtskär Keskus (Pargas)",188489,6686467
"21770  Mossala (Pargas)",191215,6695694
"21800  Kyrö (Pöytyä)",270055,6736902
"21820  Kumila (Pöytyä)",271290,6741879
"21840  Karinainen (Pöytyä)",266323,6731124
"21860  Auvainen (Pöytyä)",256519,6736478
"21870  Riihikoski (Pöytyä)",257319,6740902
"21880  Pöytyä (Pöytyä)",262760,6744897
"21890  Haveri (Pöytyä)",264220,6749552
"21900  Yläne Keskus (Pöytyä)",246787,6755892
"21930  Uusikartano (Pöytyä)",253630,6750368
"22100  Maarianhamina (Mariehamn)",108230,6682953
"22120  Möckelö (Jomala)",106038,6687722
"22130  Gottby (Jomala)",100969,6688406
"22140  Önningby (Jomala)",111986,6684574
"22150  Jomala Centrum (Jomala)",110388,6690607
"22160  Järsö (Lemland)",110048,6674638
"22220  Emkarby (Finström)",105711,6696133
"22240  Hammarland (Hammarland)",98940,6696990
"22270  Storby (Eckerö)",90361,6699877
"22310  Pålsböle (Finström)",108505,6703136
"22320  Ödkarby (Saltvik)",114181,6706629
"22330  Tjudö (Finström)",111945,6710138
"22340  Geta (Geta)",107214,6714775
"22410  Godby (Finström)",111152,6697634
"22430  Saltvik (Saltvik)",119894,6705762
"22520  Tosarby (Sund)",119950,6699819
"22530  Sund (Sund)",121853,6697210
"22550  Vårdö (Vårdö)",133854,6696820
"22610  Lemland (Lemland)",116425,6679180
"22630  Lumparland (Lumparland)",125248,6683545
"22710  Ålands Degerby (Föglö)",141640,6672755
"22720  Sottunga (Sottunga)",148246,6682722
"22730  Kökar (Kökar)",162792,6660638
"22810  Seglinge (Kumlinge)",150444,6691676
"22820  Kumlinge (Kumlinge)",156768,6696288
"22830  Enklinge (Kumlinge)",156040,6705992
"22840  Lappo (Brändö)",164756,6703295
"22910  Torsholma (Brändö)",173209,6705256
"22920  Brändö-Åland (Brändö)",172659,6712110
"22930  Fiskö (Brändö)",166813,6717438
"22940  Åva (Brändö)",174449,6717371
"22950  Jurmo (Brändö)",175065,6724563
"23100  Mynämäki Keskus (Mynämäki)",231544,6748989
"23120  Mietoinen Keskus (Mynämäki)",220845,6730573
"23140  Hietamäki (Mynämäki)",218044,6735149
"23200  Vinkkilä (Vehmaa)",213028,6740595
"23210  Vehmaa (Vehmaa)",208328,6739252
"23260  Rautila (Vehmaa)",211619,6731128
"23310  Taivassalo (Taivassalo)",202678,6729907
"23360  Kustavi (Kustavi)",193704,6724903
"23390  Iniö (Pargas)",187348,6706901
"23450  Lokalahti (Uusikaupunki)",196104,6741347
"23500  Uusikaupunki Keskus (Uusikaupunki)",196276,6755941
"23600  Kalanti Keskus (Uusikaupunki)",206983,6754025
"23660  Kalanti Asemanseutu (Uusikaupunki)",203169,6748054
"23800  Laitila Keskus (Laitila)",216196,6760921
"23840  Soukainen (Laitila)",212349,6766854
"23880  Suontaka (Laitila)",219477,6767378
"23930  Pyhämaa (Uusikaupunki)",192923,6767935
"23950  Pyhäranta (Pyhäranta)",201339,6768983
"23960  Santtio (Pyhäranta)",198963,6773901
"24100  Salo Keskus (Salo)",287983,6700048
"24130  Ylhäisi (Salo)",286508,6695349
"24240  Rappula (Salo)",285766,6705572
"24260  Ollikkala (Salo)",289031,6708110
"24280  Tupuri-Hähkänä (Salo)",290956,6703213
"24800  Halikko Keskus (Salo)",283310,6702943
"24910  Halikko Asemanseutu (Salo)",280719,6703683
"25110  Kruusila (Salo)",303498,6698212
"25130  Muurla (Salo)",294906,6696608
"25160  Tuohittu (Salo)",293861,6689344
"25170  Kotalato (Salo)",284754,6691159
"25180  Romsila (Salo)",299268,6702242
"25190  Inkere (Salo)",295089,6704710
"25210  Vartsala (Salo)",279971,6696525
"25230  Angelniemi (Salo)",274261,6695245
"25240  Hajala (Salo)",274349,6703702
"25250  Märynummi (Salo)",282297,6707679
"25260  Vaskio (Salo)",279614,6714875
"25320  Raatala (Salo)",288415,6718195
"25330  Kuusjoki Keskus (Salo)",292152,6715244
"25340  Kanunki (Salo)",297548,6718778
"25360  Pertteli Keskus (Salo)",293852,6709026
"25370  Hiisi (Salo)",299034,6710795
"25380  Rekijoki (Salo)",305103,6712447
"25390  Kiikala Keskus (Salo)",311717,6707157
"25410  Suomusjärvi Keskus (Salo)",312792,6694679
"25420  Lahnajärvi (Salo)",318529,6697832
"25430  Kettula (Salo)",320233,6702305
"25460  Toija (Salo)",302005,6686264
"25470  Kisko kk (Salo)",307457,6681001
"25500  Perniö Keskus (Salo)",284126,6676006
"25520  Perniö Asemanseutu (Salo)",286190,6686190
"25540  Knaapila (Salo)",293691,6684935
"25550  Aijala (Salo)",298577,6678125
"25560  Koski Asemanseutu (Salo)",294242,6676584
"25570  Teijo-Mathildedal (Salo)",278347,6686276
"25610  Ylönkylä (Salo)",276380,6676689
"25630  Finby (Salo)",273477,6670290
"25640  Förby (Salo)",271323,6664331
"25650  Strömma (Kimitoön)",269160,6680201
"25660  Mathildedal (Salo)",273495,6682084
"25700  Kemiö Keskus (Kimitoön)",266211,6677081
"25710  Vreta-Vestlax (Kimitoön)",258304,6676879
"25730  Mjösund (Kimitoön)",248987,6680358
"25760  Kiila (Kimitoön)",271611,6685359
"25810  Mark (Kimitoön)",262669,6670544
"25820  Vestlax (Kimitoön)",263864,6667949
"25830  Västanfjärd Keskus (Kimitoön)",261959,6663448
"25840  Nivelax (Kimitoön)",256912,6667786
"25860  Björkboda (Kimitoön)",252210,6672167
"25870  Dragsfjärd (Kimitoön)",246756,6666378
"25900  Taalintehdas (Kimitoön)",249556,6663061
"25910  Vänoxa (Kimitoön)",255902,6654068
"25930  Kasnäs (Kimitoön)",243699,6653455
"25940  Hiittinen (Kimitoön)",248167,6647455
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",244583,6644672
"25960  Högsåra (Kimitoön)",240479,6655137
"26100  Rauma Keskus (Rauma)",203881,6790399
"26200  Merirauma-Kappelinluhta (Rauma)",203252,6794103
"26410  Kaaro (Rauma)",206959,6794944
"26510  Uotila (Rauma)",209119,6790993
"26560  Kolla (Rauma)",212556,6785200
"26660  Paroalho (Rauma)",207014,6787584
"26720  Monnanummi (Rauma)",206284,6785670
"26740  Vasarainen (Rauma)",208803,6783283
"26820  Sampaanala (Rauma)",202914,6787340
"26840  Kortela (Rauma)",204071,6785359
"26910  Unaja (Rauma)",204217,6782719
"26930  Vermuntila (Rauma)",205028,6777579
"26950  Voiluoto (Rauma)",200165,6781902
"27100  Eurajoki Keskus (Eurajoki)",215762,6797243
"27110  Irjanne (Eurajoki)",219996,6803123
"27130  Eurajoki asemanseutu (Eurajoki)",224659,6795538
"27150  Lapijoki (Eurajoki)",210869,6795539
"27160  Olkiluoto (Eurajoki)",202872,6801959
"27170  Kuivalahti (Eurajoki)",211590,6806208
"27220  Ala-Kieri (Rauma)",218171,6782805
"27230  Lappi (Rauma)",221307,6786362
"27250  Kodiksami (Rauma)",229289,6779316
"27260  Kuolimaa (Rauma)",222819,6778818
"27310  Kodisjoki (Rauma)",213500,6777222
"27320  Ihode (Pyhäranta)",207296,6772291
"27340  Reila (Pyhäranta)",195980,6779642
"27400  Kiukainen Keskus (Eura)",236448,6795851
"27420  Panelia Asemanseutu (Eura)",229761,6795743
"27430  Panelia (Eura)",228987,6801695
"27450  Harola (Eura)",238810,6799136
"27500  Kauttua (Eura)",239054,6781815
"27510  Eura Keskus (Eura)",234408,6788306
"27600  Hinnerjoki (Eura)",228658,6768560
"27640  Honkilahti kk (Eura)",234653,6769763
"27650  Honkilahti (Eura)",241995,6767142
"27670  Mannila (Eura)",240046,6774628
"27710  Köyliö Keskus (Säkylä)",246987,6786591
"27730  Tuiskula (Säkylä)",243552,6791595
"27740  Voitoinen (Säkylä)",242389,6796537
"27750  Yttilä (Säkylä)",253683,6786047
"27800  Säkylä Keskus (Säkylä)",256019,6772768
"27820  Iso-Vimma (Säkylä)",243848,6780521
"27840  Kakkuri (Säkylä)",251701,6780576
"27860  Vuori (Säkylä)",258255,6778008
"27910  Huovinrinne (Säkylä)",253303,6775375
"27920  Otajoki (Säkylä)",249430,6769678
"28100  Pori Keskus (Pori)",219853,6842270
"28120  Käppärä-Isomäki (Pori)",221529,6827903
"28130  Impola (Pori)",223972,6825857
"28190  Pormestarinluoto (Pori)",219098,6837980
"28200  Toejoki (Pori)",224064,6831452
"28220  Ruosniemi (Pori)",227521,6832201
"28240  Isojoenranta (Pori)",227169,6827963
"28260  Harjunpää (Ulvila)",231272,6828452
"28300  Kalaholma-Väinölä (Pori)",226043,6827454
"28330  Koivistonluoto (Pori)",226235,6825493
"28360  Vanhakoivisto (Pori)",224963,6826655
"28370  Sampola (Pori)",225222,6825477
"28400  Ulvila Keskus (Ulvila)",225560,6819937
"28430  Kartano-Harmaalinna (Pori)",225045,6823490
"28450  Vanha-Ulvila (Ulvila)",229532,6822279
"28500  Keskussairaala-alue-Tiilimäki (Pori)",222385,6826075
"28540  Pinomäki (Pori)",221801,6824151
"28560  Lattomeri (Pori)",220755,6818171
"28580  Niittymaa (Pori)",218537,6821005
"28600  Vähärauma (Pori)",218605,6827750
"28610  Musa-Tiiliruukki (Pori)",220149,6827125
"28660  Pietniemi-Leppäkorpi (Pori)",213698,6826567
"28760  Kyläsaari (Pori)",216144,6833758
"28800  Pihlava (Pori)",212381,6836687
"28840  Yyteri-Kaanaa (Pori)",209537,6838986
"28880  Mäntyluoto (Pori)",209100,6840791
"28900  Tahkoluoto-Reposaari (Pori)",208556,6845729
"29100  Luvia Keskus (Eurajoki)",212063,6814623
"29180  Peränkylä (Eurajoki)",218610,6810043
"29200  Harjavalta Keskus (Harjavalta)",239302,6809216
"29250  Nakkila Keskus (Nakkila)",233844,6813738
"29270  Hormisto (Nakkila)",226592,6809268
"29280  Järvimaa (Nakkila)",225357,6814788
"29310  Kaasmarkku (Ulvila)",233739,6823142
"29320  Leineperi (Ulvila)",240787,6819196
"29340  Kullaa Keskus (Ulvila)",246521,6827503
"29350  Palus (Ulvila)",237675,6829143
"29570  Söörmarkku (Pori)",224146,6837919
"29600  Noormarkku Keskus (Pori)",232871,6841121
"29630  Pomarkku Keskus (Pomarkku)",235773,6850541
"29640  Honkakoski (Pomarkku)",240949,6856845
"29680  Kairila (Pori)",247642,6842994
"29700  Ahlainen (Pori)",217538,6851758
"29720  Lamppi (Pori)",221750,6847305
"29740  Etelämaa (Merikarvia)",220240,6860682
"29750  Pohjansaha (Merikarvia)",215308,6858374
"29760  Köörtilä (Merikarvia)",211455,6862032
"29790  Tuorila (Merikarvia)",219347,6868652
"29810  Siikainen Keskus (Siikainen)",230718,6875400
"29830  Sammi (Siikainen)",241217,6870826
"29860  Otamo (Siikainen)",224542,6866494
"29880  Leväsjoki-Saarineva (Siikainen)",229466,6861297
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",210246,6878228
"29940  Kuvaskangas (Merikarvia)",219326,6880617
"30100  Forssa Keskus (Forssa)",316674,6752008
"30300  Viksberg (Forssa)",316793,6744895
"30420  Tölö (Forssa)",314419,6745988
"31110  Matku (Forssa)",313253,6764005
"31130  Koijärvi (Forssa)",319950,6759645
"31140  Menonen (Urjala)",308692,6768603
"31160  Nuutajärvi (Urjala)",303649,6771126
"31170  Savijoki (Forssa)",323619,6762996
"31230  Susikas (Tammela)",329789,6757237
"31250  Teuro (Tammela)",334674,6752007
"31300  Tammela Keskus (Tammela)",332298,6746917
"31310  Mustiala (Tammela)",324403,6748189
"31340  Porras (Tammela)",331704,6738975
"31350  Vistinkoski (Tammela)",332547,6731414
"31370  Eerikkilän Urheiluopisto (Tammela)",324809,6736414
"31380  Letku-Torro (Tammela)",322025,6734891
"31400  Somero Keskus (Somero)",312228,6727618
"31410  Ylöpirtti (Somero)",307885,6734724
"31450  Häntälä (Somero)",301583,6722924
"31460  Hirsjärvi (Somero)",317797,6721633
"31470  Somerniemi (Somero)",322006,6719605
"31490  Terttilä (Somero)",311934,6716116
"31500  Koski Tl (Koski Tl)",288027,6731343
"31520  Pitkäjärvi (Somero)",297964,6731940
"31530  Pyöli (Somero)",303110,6731471
"31600  Jokioinen Keskus (Jokioinen)",308925,6745254
"31610  Vaulammi (Jokioinen)",305047,6743404
"31620  Latovainio (Jokioinen)",310373,6755841
"31630  Minkiö (Jokioinen)",305088,6752065
"31640  Humppila Keskus (Humppila)",300829,6757834
"31650  Venäjänkangas (Humppila)",300371,6766340
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",322741,6770042
"31720  Urjalankylä-Kehro (Urjala)",307156,6778134
"31730  Honkola (Urjala)",307405,6785439
"31750  Kehro (Urjala)",311426,6789112
"31760  Urjala Keskus (Urjala)",314037,6777386
"31810  Oriniemi (Punkalaidun)",296726,6787857
"31830  Halkivaha (Urjala)",302160,6790000
"31850  Koskioinen (Punkalaidun)",295953,6779066
"31860  Tursa (Urjala)",301471,6778869
"31900  Punkalaidun Keskus (Punkalaidun)",287919,6781563
"31930  Vanttila (Punkalaidun)",283328,6785880
"31950  Sadonmaa (Punkalaidun)",295559,6772287
"31960  Orisuo (Loimaa)",289475,6770919
"31970  Kanteenmaa (Punkalaidun)",284439,6775630
"32100  Ypäjä Keskus (Ypäjä)",296743,6743610
"32140  Ypäjä Asemanseutu (Ypäjä)",295158,6753453
"32200  Loimaa Keskus (Loimaa)",286787,6752468
"32210  Loimaa kk (Loimaa)",282234,6756966
"32250  Kojonkulma (Loimaa)",283080,6762839
"32260  Kojonperä (Loimaa)",285411,6767684
"32270  Metsämaa-Murto (Loimaa)",292679,6762265
"32280  Metsäkorpi (Loimaa)",296360,6760361
"32300  Mellilä (Loimaa)",279073,6742248
"32410  Niinijoki (Loimaa)",274371,6753659
"32430  Ylhäinen (Loimaa)",274773,6758947
"32440  Alastaro Keskus (Loimaa)",275820,6763665
"32450  Tammiainen (Loimaa)",273189,6770006
"32500  Oripää Keskus (Oripää)",264729,6754542
"32520  Latva (Oripää)",261837,6759660
"32560  Virttaa (Loimaa)",264307,6764962
"32610  Vampula Keskus (Huittinen)",266963,6773324
"32620  Rutava (Huittinen)",267730,6778127
"32700  Huittinen Keskus (Huittinen)",265305,6787636
"32710  Sampu (Huittinen)",263890,6798196
"32730  Keikyä (Sastamala)",273666,6797879
"32740  Äetsä Keskus (Sastamala)",267490,6803164
"32760  Suttila (Huittinen)",277547,6786019
"32770  Huhtamo (Huittinen)",277936,6778330
"32800  Kokemäki Keskus (Kokemäki)",252467,6797204
"32810  Peipohja (Kokemäki)",245329,6797858
"32830  Riste (Kokemäki)",256515,6798879
"32860  Korkeaoja (Kokemäki)",247619,6815347
"32910  Kauvatsa Asemanseutu (Kokemäki)",261060,6805268
"32920  Kauvatsa (Kokemäki)",256924,6814179
"33100  Tampere Keskus (Tampere)",328970,6821590
"33180  Lapinniemi-Käpylä (Tampere)",328335,6825083
"33200  Tampere Keskus Läntinen (Tampere)",327187,6822019
"33210  Itä-Amuri-Tammerkoski (Tampere)",327246,6823469
"33230  Länsi-Amuri (Tampere)",326046,6822508
"33240  Tahmela (Tampere)",324822,6822271
"33250  Pispala (Tampere)",325414,6823987
"33270  Epilä (Tampere)",323105,6822896
"33300  Rahola (Tampere)",320377,6822197
"33310  Tesoma (Tampere)",320380,6824208
"33330  Myllypuro-Kalkku (Tampere)",317735,6823933
"33340  Haukiluoma-Ikuri (Tampere)",319181,6824725
"33380  Pitkäniemi (Nokia)",318043,6821045
"33400  Luoteis-Tampere (Tampere)",322728,6826203
"33410  Lentävänniemi (Tampere)",326022,6826233
"33420  Lamminpää (Tampere)",321047,6825801
"33430  Vuorentausta (Ylöjärvi)",318943,6826761
"33450  Siivikkala (Ylöjärvi)",324191,6829398
"33470  Ylöjärvi Keskus (Ylöjärvi)",318116,6828877
"33480  Manninmäki-Haavisto (Ylöjärvi)",322417,6832467
"33500  Osmonmäki-Petsamo (Tampere)",329709,6824203
"33520  Keskussairaala-alue-Kauppi (Tampere)",330614,6823337
"33530  Kissanmaa (Tampere)",331115,6822176
"33540  Kaleva (Tampere)",329790,6822237
"33560  Takahuhti (Tampere)",332998,6823233
"33580  Atala-Linnainmaa (Tampere)",335921,6821850
"33610  Olkahinen-Tasanne (Tampere)",337060,6824253
"33680  Aitolahti (Tampere)",338795,6829391
"33700  Messukylä (Tampere)",331601,6820776
"33710  Kaukajärvi (Tampere)",334637,6818325
"33720  Hervanta (Tampere)",332532,6816410
"33730  Leinola-Vehmainen (Tampere)",335522,6819797
"33800  Nekala (Tampere)",329553,6820526
"33820  Koivistonkylä (Tampere)",330035,6818487
"33840  Peltolammi (Tampere)",327594,6817326
"33850  Multisilta (Tampere)",326236,6816006
"33870  Vuores (Tampere)",330830,6814545
"33880  Höytämö (Lempäälä)",327108,6813494
"33900  Härmälä-Rantaperkiö (Tampere)",326746,6819738
"33920  Toivio (Pirkkala)",325003,6817496
"33950  Killo (Pirkkala)",323837,6820042
"33960  Suuppa (Pirkkala)",321845,6816635
"33980  Pirkkala kk (Pirkkala)",316074,6815125
"34110  Lakiala (Ylöjärvi)",316100,6836513
"34130  Ylinen (Ylöjärvi)",321764,6837316
"34140  Mutala (Ylöjärvi)",321068,6842043
"34150  Kyrönlahti (Ylöjärvi)",316962,6851193
"34180  Länsi-Teisko (Ylöjärvi)",325493,6849051
"34240  Kämmenteisko (Tampere)",333797,6835616
"34260  Terälahti (Tampere)",335702,6843521
"34270  Velaatta (Tampere)",342092,6851429
"34300  Kuru Keskus (Ylöjärvi)",325332,6874931
"34320  Parkkuu (Ylöjärvi)",325570,6858018
"34330  Poikelus (Ylöjärvi)",321302,6855471
"34410  Murole (Ruovesi)",339814,6857585
"34420  Muroleen Kanava (Ruovesi)",337504,6863665
"34430  Kekkonen (Ruovesi)",344174,6860034
"34450  Jäminkipohja (Ruovesi)",349318,6864249
"34510  Luode (Ylöjärvi)",317636,6875155
"34530  Länsi-Aure (Ylöjärvi)",310087,6875688
"34550  Itä-Aure (Ylöjärvi)",315037,6887767
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",342535,6874865
"34640  Mustajärvi (Ruovesi)",342515,6883392
"34710  Vaskivesi (Virrat)",327073,6892811
"34730  Vaskuu (Virrat)",318090,6900147
"34740  Koro (Virrat)",325587,6901713
"34770  Kurjenkylä (Virrat)",310827,6911960
"34800  Virrat Keskus (Virrat)",330267,6903855
"34870  Visuvesi (Ruovesi)",340730,6889531
"34910  Äijänneva (Virrat)",319385,6916307
"34930  Liedenpohja (Virrat)",325303,6920331
"34950  Ohtola (Virrat)",334615,6915928
"34970  Toisvesi (Virrat)",335419,6921727
"34980  Killinkoski (Virrat)",338618,6923749
"35100  Orivesi Asemanseutu (Orivesi)",363366,6837368
"35220  Eräjärvi (Orivesi)",369589,6830010
"35240  Ristakallio (Orivesi)",376137,6828010
"35260  Leväslahti (Orivesi)",371537,6835630
"35270  Västilä (Orivesi)",378996,6833840
"35300  Orivesi Keskus (Orivesi)",360789,6829956
"35320  Hirsilä (Orivesi)",356406,6851122
"35400  Länkipohja (Jämsä)",387176,6846403
"35420  Talviainen (Orivesi)",375277,6849683
"35480  Längelmäki (Orivesi)",379011,6841164
"35500  Korkeakoski (Juupajoki)",358824,6858619
"35520  Pirttikangas (Juupajoki)",365670,6859279
"35530  Lyly (Juupajoki)",368789,6864634
"35540  Juupajoki (Juupajoki)",371387,6854189
"35550  Salokunta (Juupajoki)",365992,6849232
"35600  Halli (Jämsä)",383113,6860741
"35610  Pihlaisto (Jämsä)",379086,6863591
"35630  Suinula-Valkamanperä (Jämsä)",384460,6867181
"35700  Vilppula Keskus (Mänttä-Vilppula)",361490,6881966
"35740  Ylä-Vääri (Ruovesi)",359085,6875225
"35750  Väärinmaja (Ruovesi)",354103,6872624
"35800  Mänttä (Mänttä-Vilppula)",374988,6882728
"35820  Asemakulma-Mustalahti (Jämsä)",383111,6878528
"35990  Kolho (Mänttä-Vilppula)",371636,6891445
"36100  Kangasala Asemanseutu (Kangasala)",339839,6821582
"36110  Ruutana (Kangasala)",341501,6824706
"36120  Suinula-Haviseva (Kangasala)",347619,6830035
"36200  Kangasala Keskus (Kangasala)",339884,6816115
"36220  Suorama (Kangasala)",339838,6818931
"36240  Nattari (Kangasala)",337762,6820341
"36270  Huutijärvi (Kangasala)",346274,6815176
"36280  Pikonlinna (Kangasala)",344775,6821213
"36340  Tohkala (Kangasala)",355667,6826086
"36420  Sahalahti Keskus (Kangasala)",358860,6820441
"36430  Pakkala (Kangasala)",364741,6814861
"36450  Salmentaka (Pälkäne)",362957,6809853
"36520  Raikku (Kangasala)",353475,6812598
