"Postal code area","X coordinate in metres","Y coordinate in metres"
"01700  Kivistö (Vantaa)",380609,6689308
"01710  Pähkinärinne (Vantaa)",378089,6682224
"01720  Petikko (Vantaa)",379215,6685127
"01730  Vantaanpuisto (Vantaa)",381190,6686816
"01740  Tuupakan teollisuusalue (Vantaa)",383901,6686617
"01750  Keimola (Vantaa)",378430,6691220
"01760  Seutula (Vantaa)",382780,6693323
"01770  Martinlaakson teollisuusalue (Vantaa)",381413,6685458
"01800  Klaukkala Keskus (Nurmijärvi)",375202,6696585
"01810  Luhtajoki (Nurmijärvi)",378914,6698901
"01820  Haikala (Nurmijärvi)",376793,6698282
"01830  Lepsämä (Nurmijärvi)",370025,6697493
"01840  Klaukkala (Nurmijärvi)",375880,6693454
"01860  Perttula (Nurmijärvi)",371570,6702426
"01900  Nurmijärvi Keskus (Nurmijärvi)",380915,6705488
"01940  Palojoki (Nurmijärvi)",382499,6700396
"02100  Tapiola (Espoo)",378056,6673140
"02110  Otsolahti (Espoo)",379011,6673189
"02120  Länsikorkee-Suvikumpu (Espoo)",377402,6672830
"02130  Pohjois-Tapiola (Espoo)",378010,6674565
"02140  Laajalahti (Espoo)",378092,6675820
"02150  Otaniemi (Espoo)",379412,6673889
"02160  Westend (Espoo)",377820,6671683
"02170  Haukilahti (Espoo)",376372,6671515
"02180  Mankkaa (Espoo)",376250,6675136
"02200  Niittykumpu (Espoo)",375719,6673124
"02210  Olari (Espoo)",373877,6673197
"02230  Matinkylä (Espoo)",374856,6670785
"02240  Friisilä (Espoo)",373326,6672241
"02250  Henttaa (Espoo)",374249,6674498
"02260  Kaitaa (Espoo)",372226,6669920
"02270  Finnoo-Eestinmalmi (Espoo)",372465,6671520
"02280  Malminmäki-Eestinlaakso (Espoo)",371647,6673360
"02290  Puolarmetsän sairaala (Espoo)",372635,6673286
"02300  Nöykkiönpuro (Espoo)",370668,6671451
"02320  Espoonlahti (Espoo)",369052,6670099
"02330  Saunalahti-Kattilalaakso (Espoo)",368961,6672257
"02340  Latokaski (Espoo)",369943,6673774
"02360  Soukka (Espoo)",370805,6668745
"02380  Suvisaaristo (Espoo)",372791,6666335
"02390  Sarvvik (Kirkkonummi)",366303,6669024
"02400  Kirkkonummi Keskus (Kirkkonummi)",356300,6671554
"02410  Gesterby (Kirkkonummi)",358358,6669378
"02420  Jorvas (Kirkkonummi)",364490,6664091
"02430  Masala (Kirkkonummi)",362340,6672349
"02440  Luoma (Kirkkonummi)",362704,6674096
"02450  Sundsberg (Kirkkonummi)",364858,6670958
"02460  Kantvik (Kirkkonummi)",354962,6664688
"02470  Upinniemi (Kirkkonummi)",351884,6657240
"02480  Porkkala (Kirkkonummi)",358652,6663804
"02490  Pikkala (Siuntio)",352918,6664804
"02510  Oitmäki (Kirkkonummi)",361304,6678095
"02520  Lapinkylä (Kirkkonummi)",358338,6678250
"02540  Kylmälä (Kirkkonummi)",355321,6681069
"02550  Evitskog (Kirkkonummi)",352870,6676750
"02570  Siuntio Kirkonkylä (Siuntio)",347035,6677340
"02580  Siuntio Asemanseutu (Siuntio)",345479,6668675
"02590  Lappers (Siuntio)",339612,6674763
"02600  Etelä-Leppävaara (Espoo)",378853,6676687
"02610  Kilo (Espoo)",376658,6677927
"02620  Karakallio (Espoo)",376706,6679636
"02630  Nihtisilta (Espoo)",376102,6676625
"02650  Pohjois-Leppävaara (Espoo)",378951,6678499
"02660  Lintuvaara (Espoo)",378764,6680027
"02680  Uusmäki (Espoo)",379728,6680296
"02700  Kauniainen (Kauniainen)",373274,6677450
"02710  Viherlaakso (Espoo)",374759,6679008
"02720  Lähderanta (Espoo)",375026,6680419
"02730  Jupperi (Espoo)",376216,6681574
