STATE,ST,TIMEZONE,TZ
Aizkraukles Novads,01,Eastern European Time,EET
Alūksnes Novads,02,Eastern European Time,EET
Balvu Novads,03,Eastern European Time,EET
Bauskas Novads,04,Eastern European Time,EET
Cēsu Novads,05,Eastern European Time,EET
Daugavpils Novads,07,Eastern European Time,EET
Dobeles Novads,08,Eastern European Time,EET
Gulbenes Novads,09,Eastern European Time,EET
Jēkabpils Novads,10,Eastern European Time,EET
Jelgavas Novads,12,Eastern European Time,EET
Krāslavas Novads,14,Eastern European Time,EET
Kuldīgas Novads,15,Eastern European Time,EET
Limbažu Novads,18,Eastern European Time,EET
Ludzas Novads,19,Eastern European Time,EET
Madonas Novads,20,Eastern European Time,EET
Ogres Novads,21,Eastern European Time,EET
Preiļu Novads,22,Eastern European Time,EET
Rēzeknes Novads,24,Eastern European Time,EET
Saldus Novads,27,Eastern European Time,EET
Talsu Novads,28,Eastern European Time,EET
Tukuma Novads,29,Eastern European Time,EET
Valkas Novads,30,Eastern European Time,EET
Ventspils Novads,33,Eastern European Time,EET
Ādažu Novads,34,Eastern European Time,EET
Aglonas Novads,35,Eastern European Time,EET
Aizputes Novads,37,Eastern European Time,EET
Aknīstes Novads,38,Eastern European Time,EET
Alojas Novads,39,Eastern European Time,EET
Alsungas Novads,40,Eastern European Time,EET
Amatas Novads,42,Eastern European Time,EET
Apes Novads,43,Eastern European Time,EET
Auces Novads,44,Eastern European Time,EET
Babītes Novads,45,Eastern European Time,EET
Baldones Novads,46,Eastern European Time,EET
Baltinavas Novads,47,Eastern European Time,EET
Beverīnas Novads,50,Eastern European Time,EET
Brocēnu Novads,51,Eastern European Time,EET
Burtnieku Novads,52,Eastern European Time,EET
Carnikavas Novads,53,Eastern European Time,EET
Cesvaines Novads,55,Eastern European Time,EET
Ciblas Novads,56,Eastern European Time,EET
Dagdas Novads,57,Eastern European Time,EET
Dundagas Novads,60,Eastern European Time,EET
Durbes Novads,61,Eastern European Time,EET
Engures Novads,62,Eastern European Time,EET
Ērgļu Novads,63,Eastern European Time,EET
Garkalnes Novads,64,Eastern European Time,EET
Grobiņas Novads,65,Eastern European Time,EET
Iecavas Novads,67,Eastern European Time,EET
Ikšķiles Novads,68,Eastern European Time,EET
Ilūkstes Novads,69,Eastern European Time,EET
Inčukalna Novads,70,Eastern European Time,EET
Jaunjelgavas Novads,71,Eastern European Time,EET
Jaunpiebalgas Novads,72,Eastern European Time,EET
Jaunpils Novads,73,Eastern European Time,EET
Kandavas Novads,77,Eastern European Time,EET
Kārsavas Novads,78,Eastern European Time,EET
Ķeguma Novads,79,Eastern European Time,EET
Ķekavas Novads,80,Eastern European Time,EET
Kocēnu Novads,81,Eastern European Time,EET
Kokneses Novads,82,Eastern European Time,EET
Krimuldas Novads,84,Eastern European Time,EET
Krustpils Novads,85,Eastern European Time,EET
Lielvārdes Novads,87,Eastern European Time,EET
Līgatnes Novads,88,Eastern European Time,EET
Līvānu Novads,90,Eastern European Time,EET
Lubānas Novads,91,Eastern European Time,EET
Mālpils Novads,94,Eastern European Time,EET
Mārupes Novads,95,Eastern European Time,EET
Mazsalacas Novads,96,Eastern European Time,EET
Naukšēnu Novads,97,Eastern European Time,EET
Neretas Novads,98,Eastern European Time,EET
Nīcas Novads,99,Eastern European Time,EET
Olaines Novads,A2,Eastern European Time,EET
Ozolnieku Novads,A3,Eastern European Time,EET
Pārgaujas Novads,A4,Eastern European Time,EET
Pāvilostas Novads,A5,Eastern European Time,EET
Pļaviņu Novads,A6,Eastern European Time,EET
Priekules Novads,A8,Eastern European Time,EET
Priekuļu Novads,A9,Eastern European Time,EET
Raunas Novads,B1,Eastern European Time,EET
Riebiņu Novads,B3,Eastern European Time,EET
Rojas Novads,B4,Eastern European Time,EET
Ropažu Novads,B5,Eastern European Time,EET
Rucavas Novads,B6,Eastern European Time,EET
Rugāju Novads,B7,Eastern European Time,EET
Rūjienas Novads,B8,Eastern European Time,EET
Rundāles Novads,B9,Eastern European Time,EET
Salas Novads,C2,Eastern European Time,EET
Salaspils Novads,C3,Eastern European Time,EET
Saulkrastu Novads,C5,Eastern European Time,EET
Sējas Novads,C6,Eastern European Time,EET
Siguldas Novads,C7,Eastern European Time,EET
Skrīveru Novads,C8,Eastern European Time,EET
Skrundas Novads,C9,Eastern European Time,EET
Smiltenes Novads,D1,Eastern European Time,EET
Stopiņu Novads,D2,Eastern European Time,EET
Strenču Novads,D3,Eastern European Time,EET
Tērvetes Novads,D5,Eastern European Time,EET
Vaiņodes Novads,D7,Eastern European Time,EET
Varakļānu Novads,E1,Eastern European Time,EET
Vārkavas Novads,E2,Eastern European Time,EET
Vecpiebalgas Novads,E3,Eastern European Time,EET
Vecumnieku Novads,E4,Eastern European Time,EET
Viesītes Novads,E6,Eastern European Time,EET
Viļakas Novads,E7,Eastern European Time,EET
Viļānu Novads,E8,Eastern European Time,EET
Zilupes Novads,E9,Eastern European Time,EET
Mērsraga Novads,F1,Eastern European Time,EET
