,country,region,demographics,zipcodes,hospitals,urgent,primary
0,Init,Init,True,True,True,True,True
0,BE,Bruxelles,False,True,True,True,True
0,BE,Vlaanderen,False,True,True,True,True
0,BE,Wallonie,False,True,True,True,True
0,BG,Бургас,True,True,True,True,True
0,BG,Благоевград,True,True,True,True,True
0,BG,Добрич,True,True,True,True,True
0,BG,Габрово,True,True,True,True,True
0,BG,Хасково,True,True,True,True,True
0,BG,Ямбол,True,True,True,True,True
0,BG,Кюстендил,True,True,True,True,True
0,BG,Кърджали,True,True,True,True,True
0,BG,Ловеч,True,True,True,True,True
0,BG,Монтана,True,True,True,True,True
0,BG,Пазарджик,True,True,True,True,True
0,BG,Пловдив,True,True,True,True,True
0,BG,Перник,True,True,True,True,True
0,BG,Плевен,True,True,True,True,True
0,BG,Разград,True,True,True,True,True
0,BG,Русе,True,True,True,True,True
0,BG,София,True,True,True,True,True
0,BG,Шумен,True,True,True,True,True
0,BG,Силистра,True,True,True,True,True
0,BG,Сливен,True,True,True,True,True
0,BG,Смолян,True,True,True,True,True
0,BG,София (столица),False,False,False,False,False
0,BG,Стара Загора,True,True,True,True,True
0,BG,Търговище,True,True,False,False,False
0,BG,Варна,True,True,True,True,True
0,BG,Видин,False,True,False,False,False
0,BG,Враца,False,True,True,True,True
0,BG,Велико Търново,True,True,True,True,True
0,CZ,Hlavní Město Praha,True,True,True,True,True
0,CZ,Jihomoravský Kraj,True,True,True,True,True
0,CZ,Jihočeský Kraj,True,True,True,True,True
0,CZ,Kraj Vysočina,False,True,False,False,False
0,CZ,Karlovarský Kraj,True,True,True,True,True
0,CZ,Královéhradecký Kraj,True,True,True,True,True
0,CZ,Liberecký Kraj,True,True,True,True,True
0,CZ,Olomoucký Kraj,True,True,True,True,True
0,CZ,Moravskoslezský Kraj,False,True,True,True,True
0,CZ,Pardubický Kraj,True,True,True,True,True
0,CZ,Plzeňský Kraj,False,True,True,True,True
0,CZ,Středočeský Kraj,True,True,True,True,True
0,CZ,Ústecký Kraj,True,True,True,True,True
0,CZ,Zlínský Kraj,True,True,True,True,True
0,DK,Region Midtjylland,True,True,False,False,False
0,DK,Region Sjælland,True,True,False,False,False
0,DK,Region Syddanmark,True,True,False,False,False
0,DK,Region Nordjylland,True,True,False,False,False
0,DK,Region Hovedstaden,True,True,False,False,False
0,DE,Brandenburg,True,True,True,True,True
0,DE,Berlin,True,True,True,True,True
0,DE,Baden-württemberg,True,True,True,True,True
0,DE,Bayern,True,True,True,True,True
0,DE,Bremen,True,True,True,True,True
0,DE,Hessen,True,True,True,True,True
0,DE,Hamburg,True,True,True,True,True
0,DE,Mecklenburg-vorpommern,True,True,True,True,True
0,DE,Niedersachsen,True,True,True,True,True
0,DE,Nordrhein-westfalen,True,True,True,True,True
0,DE,Rheinland-pfalz,True,True,True,True,True
0,DE,Schleswig-holstein,True,True,True,True,True
0,DE,Saarland,True,True,True,True,True
0,DE,Sachsen,True,True,True,True,True
0,DE,Sachsen-anhalt,True,True,True,True,True
0,DE,Thüringen,True,True,True,True,True
0,EE,Harju Maakond,True,True,True,True,True
0,EE,Hiiu Maakond,True,True,True,True,True
0,EE,Ida-viru Maakond,True,True,True,True,True
0,EE,Järva Maakond,True,True,False,False,False
0,EE,Jõgeva Maakond,True,True,True,True,True
0,EE,Lääne Maakond,True,True,False,False,False
0,EE,Lääne-viru Maakond,True,True,True,True,True
0,EE,Pärnu Maakond,True,True,True,True,True
0,EE,Põlva Maakond,True,True,True,True,True
0,EE,Rapla Maakond,True,True,True,True,True
0,EE,Saare Maakond,True,True,False,False,False
0,EE,Tartu Maakond,True,True,True,True,True
0,EE,Valga Maakond,True,True,False,False,False
0,EE,Viljandi Maakond,True,True,True,True,True
0,EE,Võru Maakond,True,True,True,True,True
