STATE,ST,TIMEZONE,TZ
Burgenland,01,Central European Time,CET
Kärnten,02,Central European Time,CET
Niederösterreich,03,Central European Time,CET
Oberösterreich,04,Central European Time,CET
Salzburg,05,Central European Time,CET
Steiermark,06,Central European Time,CET
Tirol,07,Central European Time,CET
Vorarlberg,08,Central European Time,CET
Wien,09,Central European Time,CET
