,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
17,0,Nurmijärvi,Uusimaa,42665,Nurmijärvi,,0.4995663893120825,0.5004336106879175,1.0,0.0,0.0,0.0,0.0,0.0,0.08468299542950897,0.09269893355209188,0.046454939646079926,0.05718973397398336,0.04115785772881753,0.044298605414273995,0.049642564162662606,0.06672916910816828,0.07603422008672214,0.07383100902378999,0.0812375483417321,0.06761982889956639,0.05512715340442986,0.05264268135474042,0.04767373725536154,0.02995429508965194,0.019196062346185396,0.013828665182233682,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.4313840384390014,0.04959568733153639,0.3512715340442986,0.16774874018516348
18,0,Pornainen,Uusimaa,5068,Pornainen,,0.5065114443567482,0.4934885556432518,1.0,0.0,0.0,0.0,0.0,0.0,0.0787292817679558,0.09530386740331492,0.05505130228887135,0.06353591160220995,0.034530386740331494,0.0351223362273086,0.04676400947119179,0.0633385951065509,0.07715074980268351,0.07320441988950276,0.08425414364640885,0.06866614048934491,0.06846882399368587,0.056037884767166535,0.040647198105761645,0.025256511444356748,0.017166535122336228,0.016771902131018153,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.44869771112865037,0.040844514601420676,0.39029202841357535,0.12016574585635359
19,0,Pukkila,Uusimaa,1899,Pukkila,,0.5097419694576093,0.49025803054239075,1.0,0.0,0.0,0.0,0.0,0.0,0.06951026856240126,0.07109004739336493,0.03738809899947341,0.04634017904160084,0.04107424960505529,0.03949447077409163,0.037914691943127965,0.04897314375987362,0.06582411795681938,0.07635597682991048,0.09004739336492891,0.08162190626645603,0.06687730384412849,0.061084781463928386,0.06635071090047394,0.04370721432332807,0.02948920484465508,0.026856240126382307,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.4333859926276988,0.030542390731964193,0.4523433385992628,0.08372827804107424
20,0,Porvoo,Uusimaa,50262,Porvoo,,0.4911463929011977,0.5088536070988022,1.0,0.0,0.0,0.0,0.0,0.0,0.07267916119533643,0.07431061239107078,0.03784170944252119,0.04747125064661176,0.04969957423102941,0.05200748080060483,0.05513111296804743,0.06030400700330269,0.0678842863395806,0.06826230551908002,0.07257968246388923,0.06931678007242052,0.06499940312761132,0.06394492857427082,0.060403485734749914,0.03688671362062791,0.023874895547331982,0.022402610321913177,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.4096733118459273,0.04790895706497951,0.36291830806573555,0.1794994230233576
21,0,Raasepori,Uusimaa,27592,Raasepori,,0.4927877645694404,0.5072122354305596,1.0,0.0,0.0,0.0,0.0,0.0,0.06052478979414323,0.06548999710060888,0.03388663380690055,0.0401928095100029,0.041425050739344736,0.04820237750072485,0.053058857639895624,0.052768918527109306,0.060126123514062046,0.06255436358364744,0.07089011307625398,0.07179617280371121,0.07223108147289069,0.07277471730936504,0.0749130182661641,0.048818498115395764,0.03468396636706292,0.03566251087271673,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.4253044360684256,0.04099014207016526,0.3817410843722818,0.15196433748912727
22,0,Sipoo,Uusimaa,20666,Sipoo,,0.5016452143617536,0.4983547856382464,1.0,0.0,0.0,0.0,0.0,0.0,0.07621213587535082,0.08661569728055744,0.041130359043840124,0.05380818736088261,0.04577567018290912,0.04195296622471693,0.04567889286751185,0.06493757863156877,0.07572824929836447,0.07655085647924127,0.08768024774992741,0.07069582889770638,0.05719539339978709,0.052453304945320814,0.05022742669118359,0.03135585018871576,0.021291009387399595,0.020710345495015967,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.40931965547275706,0.05767927997677345,0.33184941449724187,0.20115165005322752
23,0,Siuntio,Uusimaa,6134,Siuntio,,0.510107597000326,0.48989240299967396,1.0,0.0,0.0,0.0,0.0,0.0,0.07254646234104989,0.08950114118030648,0.04352787740462993,0.04907075317900228,0.03211607433974568,0.03342028040430388,0.044832083469188135,0.06716661232474731,0.07857841538963156,0.07939354417998044,0.09096837300293446,0.06863384414737529,0.06439517443756114,0.06504727746984024,0.06162373655037496,0.027062275839582654,0.018258884903814804,0.013857189435930877,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.4219106618845778,0.05412455167916531,0.33240952070427127,0.19155526573198564
24,0,Tuusula,Uusimaa,38664,Tuusula,,0.5000258638526794,0.4999741361473205,1.0,0.0,0.0,0.0,0.0,0.0,0.07309124767225327,0.08620422098075729,0.044951375956962546,0.052891578729567554,0.03822677426029381,0.04089075108628181,0.050563831988412994,0.06729774467204634,0.08105731429753776,0.07562590523484378,0.08286778398510242,0.07109973101593213,0.06049555141733913,0.05770225532795365,0.053176081109042005,0.03000206910821436,0.018958204014069936,0.0148975791433892,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.41664080281398724,0.049374094765156216,0.3517225325884544,0.18226256983240224
25,0,Vihti,Uusimaa,29211,Vihti,,0.49868200335490054,0.5013179966450995,1.0,0.0,0.0,0.0,0.0,0.0,0.07654650645304852,0.08722741433021806,0.03971106774845093,0.04967306836465715,0.03943719831570299,0.04351100612782856,0.05443154975865256,0.06928896648522817,0.07736811475129232,0.06884392865701276,0.07551949608024375,0.07028174317893944,0.06162062236828592,0.06398274622573688,0.054945054945054944,0.030296805997740577,0.020095169627879907,0.017219540584026565,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.41987607408168154,0.04652356988805587,0.3680120502550409,0.16558830577522166
26,0,MK02 Southwest Finland,Uusimaa,478582,MK02 Southwest Finland,,0.4892411331809387,0.5107588668190614,1.0,0.0,0.0,0.0,0.0,0.0,0.06614331504319008,0.06305293554709537,0.030640517194545552,0.041930118558575126,0.06314278430864512,0.0654036298899666,0.06177206831849087,0.06303830900451751,0.06221922262015705,0.05755753454998307,0.06689344772682633,0.06467021325499078,0.06442365153724962,0.06676807736187321,0.06399321328424387,0.039190776084349184,0.029372187002436365,0.029787998712864253,0.19,0.1145,0.3,0.2,0.1465,0.03,0.012,0.005,0.001,0.3778495639200806,0.06295263925513288,0.3755093171076221,0.18368847971716445
