113,10113,Regionshospitalet Silkeborg,,Silkeborg,Region Midtjylland,8600,,,,,Yes,,56.1710665,9.5580562
114,10114,Glumsø lægehus,,,Region Sjælland,,,,,,,,55.3544847,11.6907088
115,10115,Sundhedscenter Haderslev,,Haderslev,Region Syddanmark,6100,,,,,,,55.2562875,9.4814372
116,10116,Lægerne i Svenstrup,,Aalborg,Region Nordjylland,9230,,,,,,,56.9707426,9.8340273
117,10117,Bispebjerg Hospital,,,Region Hovedstaden,,,,,,Yes,,55.7153074,12.5369548
